muni,yhat_1,yhat_2
1161075111,0.22890155,0.24783285
1161075112,0.37325892,0.48418012
1161076101,0.22125265,0.2227685
1161076102,0.15160939,0.1665159
1161076103,0.12326897,0.114085495
1161076104,0.13987832,0.12613232
1161076105,0.11240059,0.0876353
1161076106,0.1883931,0.2033379
1161076107,0.093499236,0.07191998
1161076108,0.16809097,0.15314254
1161076109,0.08376947,0.06672923
1161076110,0.16641577,0.17277607
1161076111,0.08390185,0.07969175
1161076112,0.13818368,0.13419412
1161076113,0.1177537,0.148294
1161077101,0.19868147,0.19936487
1161077102,0.26896107,0.29267147
1161077103,0.3122764,0.44292086
1161077104,0.2674359,0.33808666
1161077105,0.21708615,0.21795128
1161078101,0.19368365,0.15791352
1161078102,0.16351508,0.14771256
1161078103,0.28163424,0.26792574
1161078104,0.31709623,0.3562727
1161079101,0.19215077,0.23692282
1161079102,0.25082093,0.2570529
1161079103,0.26867035,0.2659005
1161079104,0.24859005,0.2292876
1161079105,0.24051322,0.22433707
1161079106,0.36018124,0.3879849
1161079107,0.3370507,0.42913893
1161079108,0.5015715,0.40780178
1161079109,0.41740903,0.398834
1161079110,0.3528238,0.36773568
1161079111,0.33148083,0.30150175
1161079112,0.2802496,0.32268775
1161080101,0.18946582,0.0975166
1161080102,0.21449159,0.18894233
1161080103,0.30271903,0.29119748
1161080104,0.24215032,0.30307427
1161080105,0.32241318,0.25052658
1161080106,0.25420594,0.2553074
1161081101,0.4538836,0.48527157
1161081102,0.31797293,0.4546317
1161082101,0.15685722,0.13414761
1161082102,0.15522416,0.14314952
1161082103,0.1429067,0.14224698
1161082104,0.17349647,0.15718065
1161082105,0.26563525,0.29711083
1161082106,0.112230875,0.1399993
1161082107,0.20413552,0.19897172
1161082108,0.2178095,0.19715747
1161082109,0.25615105,0.31353176
1161082110,0.25410816,0.3010451
1161083101,0.19384709,0.17782342
1161083102,0.18843661,0.18804787
1161083103,0.27053523,0.35839877
1161083104,0.26052368,0.27326342
1161083105,0.27064052,0.30161977
1161083106,0.28589517,0.39115658
1161083107,0.29086676,0.29693484
1161083108,0.28772387,0.32439753
1161083109,0.36859128,0.4059421
1161084101,0.20566419,0.19172233
1161084102,0.21508631,0.2067645
1161084103,0.12792186,0.18298252
1161084104,0.2727693,0.24687095
1161084105,0.47110525,0.46341187
1161084106,0.40538433,0.378043
1161084107,0.46617776,0.49966583
1161084108,0.31766227,0.35606384
1161085101,0.12735552,0.13133918
1161085102,0.15327716,0.1096542
1161085103,0.23305863,0.20024961
1161085104,0.14926063,0.17722736
1161085105,0.21440203,0.18114926
1161085106,0.37051922,0.45467952
1161085107,0.36200917,0.4271163
1161085108,0.33118767,0.34189436
1161085109,0.23835492,0.22194959
1161086101,0.20798759,0.20305526
1161086102,0.17308022,0.18288867
1161086103,0.21969499,0.22064212
1161086104,0.2660022,0.2755507
1161086105,0.3377153,0.29681036
1161087101,0.16641007,0.15254293
1161087102,0.11383109,0.12741923
1161087103,0.114432685,0.12222766
1161087104,0.19420291,0.18216793
1161087105,0.33248633,0.32161164
1161087106,0.2607465,0.22169337
1161087107,0.27980617,0.2656086
1161088101,0.24284153,0.16428067
1161088102,0.31975713,0.28344327
1161088103,0.34750947,0.33749965
1161088104,0.2557533,0.24080318
1161088105,0.2065747,0.20070271
1161088106,0.13039505,0.13544464
1161088107,0.042956386,0.023157474
1161088108,0.058047425,0.03735105
1161088109,0.034364507,0.046516694
1161088110,0.07643868,0.061182395
1161088111,0.036793828,0.014552374
1161088112,0.038640477,0.014552374
1161088113,0.07024829,0.07475476
1161088114,0.10287942,0.03975991
1161089101,0.15827543,0.15796182
1161089102,0.10899122,0.1370041
1161089103,0.16985597,0.1584059
1161089104,0.12503205,0.1577839
1161089105,0.10153766,0.08853849
1161089106,0.25202072,0.22476158
1161089107,0.30738115,0.3017983
1161090101,0.16371016,0.15992332
1161090102,0.19907072,0.17089096
1161090103,0.1862057,0.15748629
1161090104,0.24185453,0.19848602
1161090105,0.20919684,0.22110279
1161090106,0.23031779,0.24115068
1161090107,0.52377886,0.43639895
1161090108,0.3978208,0.3558199
1161091101,0.16385867,0.15172195
1161091102,0.14443362,0.15963773
1161091103,0.11706831,0.09413117
1161091104,0.23182945,0.23467918
1161091105,0.22473878,0.21075054
1161091106,0.31260628,0.35638982
1161092101,0.1811437,0.1845485
1161092102,0.4664071,0.508618
1161092103,0.37496486,0.4598947
1161093101,0.21772526,0.1791423
1161093102,0.29002014,0.2616519
1161093103,0.32077488,0.29647052
1161093104,0.28538492,0.25397953
1161093105,0.3751976,0.3536845
1161093106,0.32792503,0.3995851
1161093107,0.29985747,0.36319304
1161094101,0.11966307,0.13348755
1161094102,0.14707884,0.15901291
1161094103,0.25534388,0.22171175
1161095101,0.14983617,0.16635707
1161095102,0.24983652,0.21722972
1161095103,0.14410572,0.13435674
1161095104,0.21081127,0.26240915
1161095105,0.17431286,0.15587324
1161096101,0.2480434,0.26268184
1161096102,0.4191545,0.5137913
1161097101,0.23620187,0.19031757
1161097102,0.29266766,0.30066082
1161097103,0.59532464,0.56716645
1161097104,0.1987723,0.14812782
1161097105,0.14017308,0.11564511
1161097106,0.40318164,0.3922055
1161098101,0.16255671,0.16301368
1161098102,0.142681,0.15724388
1161098103,0.13819714,0.13755548
1161098104,0.4625427,0.5266535
1161098105,0.30297947,0.3795182
1161098106,0.25967377,0.2284609
1161098107,0.2712413,0.3429874
1161099101,0.14868373,0.16957435
1161099102,0.3232162,0.33713835
1161099103,0.6108942,0.5888707
1161099104,0.5468403,0.6106477
1161100101,0.26342732,0.28497294
1161100102,0.25575823,0.26018214
1161100103,0.33675703,0.32143825
1161100104,0.40062815,0.37813088
1161100105,0.40381384,0.3760563
1161100106,0.34865305,0.3216399
1161100107,0.39239368,0.3573646
1161101101,0.34284508,0.44653726
1161101102,0.42182428,0.4441227
1161102101,0.12022549,0.12514943
1161102102,0.15877703,0.110864416
1161102103,0.091127194,0.081303924
1161102104,0.10621018,0.10797651
1161102105,0.11353942,0.13718922
1161102106,0.09674294,0.08398112
1161102107,0.11424466,0.06282023
1161102108,0.08863344,0.12618238
1161102109,0.14161168,0.15546624
1161102110,0.20561609,0.16023429
1161102111,0.1543067,0.12654054
1161102112,0.07421745,0.07820247
1161102113,0.10346462,0.077938624
1161102114,0.12393295,0.13693213
1161102115,0.16034743,0.17220506
1161102116,0.060543872,0.05869931
1161102117,0.26439708,0.30128318
1161102118,0.3084761,0.3136456
1161102119,0.22506617,0.26630542
1161102120,0.39221302,0.36699665
1161102121,0.09668139,0.11003332
1161102122,0.24564265,0.22069812
1161103101,0.20510845,0.14443763
1161103102,0.18296807,0.13255152
1161103103,0.19679727,0.14129299
1161103104,0.21266705,0.2226696
1161103105,0.1765881,0.1836106
1161103106,0.18316832,0.18441048
1161103107,0.18851422,0.18073137
1161103108,0.22439697,0.26998985
1161103109,0.25527924,0.22513679
1161104101,0.19125433,0.19877583
1161104102,0.18636069,0.20133664
1161104103,0.26329657,0.2337073
1161104104,0.36273098,0.27185515
1161104105,0.36320695,0.33131492
1161105101,0.118143745,0.12074294
1161105102,0.1690997,0.13307264
1161105103,0.13906677,0.09933608
1161105104,0.210814,0.19276026
1161105105,0.24812499,0.27431828
1161105106,0.27029595,0.24099389
1161105107,0.26285744,0.31487322
1161106101,0.17612855,0.12613232
1161106102,0.1960229,0.17818625
1161106103,0.2488354,0.24580146
1161106104,0.23867457,0.22422086
1161106105,0.17776938,0.13513075
1161106106,0.16320236,0.16373135
1161106107,0.2287379,0.24753663
1161106108,0.31285894,0.36452708
1161107101,0.1705179,0.13537936
1161107102,0.16647059,0.14240265
1161107103,0.18182664,0.1611013
1161107104,0.19861238,0.19717675
1161107105,0.22736505,0.20426232
1161107106,0.11293342,0.092011005
1161107107,0.115758896,0.100064345
1161107108,0.16970864,0.13484101
1161107109,0.1872382,0.18298312
1161107110,0.20805544,0.20461887
1161108101,0.14926656,0.13074654
1161108102,0.12689039,0.09577435
1161108103,0.15399486,0.11899156
