muni,pov_rank,pop_rank,_population,value,measure,variable,model_t,dtype,level,min,gap
1091013,44,49,1,.016320763,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1091014,50,48,1,.061040264,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1091015,50,49,1,.031066434,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1091016,50,47,1,.053170085,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1091017,49,49,1,.036854558,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1101001,23,26,1,-.081538402,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1101002,23,3,1,.15944134,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1101004,26,33,1,-.017482869,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1101005,42,50,1,-.020651193,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1101006,14,10,1,-.060498688,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1101007,40,48,1,-.020549117,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1101008,25,28,1,-.10134852,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1101009,32,7,1,.098286353,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1101010,31,4,1,.059904803,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1101011,18,1,1,-.061053496,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1101012,37,46,1,-.028846607,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1101013,27,28,1,-.035493504,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1101014,10,30,1,.05263387,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1101015,15,18,1,-.11045674,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1101016,25,22,1,-.00029509433,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1101017,24,8,1,-.027389489,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1101018,32,10,1,-.020527544,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1101020,21,11,1,-.071704559,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1101021,14,11,1,-.13004249,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1101022,17,24,1,-.11953731,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1101023,29,30,1,-.016048713,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1101024,20,16,1,-.052263457,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1101026,35,15,1,.16153196,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1101028,21,15,1,-.075689651,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1101031,11,8,1,-.18557394,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1101032,30,34,1,-.055152368,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1101033,16,2,1,-.11303207,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1101034,13,8,1,-.030363657,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1101035,23,9,1,-.0036094857,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1101036,28,26,1,-.012778471,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1101037,30,10,1,.1368348,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1101038,33,26,1,-.034135573,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1101039,26,29,1,-.038382269,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1111001,24,46,1,.01469692,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1111002,24,41,1,-.08825592,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1111003,42,44,1,.037791811,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1111004,34,41,1,.039388496,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1111005,42,44,1,.071875557,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1111007,43,49,1,-.0013950294,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1111008,29,36,1,.047286902,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1111009,30,44,1,.067444876,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1111010,24,11,1,-.032322735,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1111011,35,46,1,-.0025282933,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1111012,22,31,1,-.052192289,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1111013,29,35,1,.053072892,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1111014,25,46,1,-.028761545,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1111015,44,47,1,.025303399,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
