muni,bias_gb_census, bias_gb_gis,bias_gb_all,bias_gb_psu,bias_bart_census,bias_bart_gis,bias_bart_all,bias_bart_psu,bias_rf_census,bias_rf_gis,bias_rf_all,bias_rf_psu,bias_lasso_census,bias_lasso_gis,bias_lasso_all,bias_lasso_psu,bias_ols_census,bias_ols_gis,bias_ols_all,bias_ols_psu,bias_gb_hhid_demo,bias_gb_psu_wc,bias_gb_gis_ntl,bias_gb_all_ntl,bias_eb,bias_uc
1311008,-0.09177909484601032,-0.07154344934601031,-0.07154698774601015,-0.1278922768638296,-0.09760016815558009,-0.04947386416908117,-0.07047104298237167,-0.13051916816286901,-0.09602971113683073,-0.06368447216869455,-0.07302174473381295,-0.1271804798311068,-0.17840786565188743,-0.16192794837358654,-0.1675431389462141,-0.18038430010106898,-0.5371950257741722,0.025482959722329723,-0.09656928513859914,-0.3572492917037082,-0.08316606642657032,-0.09113581181474101,-0.07191461296601054,-0.08120271360601045,-0.13616484959877562,-0.21078320901095868
1311009,-0.15690030871634886,-0.07060241265294903,-0.15455781357694867,-0.16361938690158054,-0.1694280492392689,-0.05802638737515864,-0.1704766711442003,-0.16324139135766078,-0.1384396885454438,-0.08307240073780814,-0.13463461709797478,-0.1541697233545129,-0.1541012164579143,-0.07322577962328408,-0.15051813970878702,-0.13621252295161054,-0.4490676509463345,-0.04999230740265609,-0.14357215506638918,-0.2586464659945648,-0.31349038989566175,-0.16555502622381849,-0.09077660652294878,-0.14969684432494884,-0.07387145515927114,-0.12578524985164405
1311011,-0.031341194745529516,-0.03831864810952934,-0.027070366237529314,-0.03338956746342883,-0.04856631586234483,-0.06527664007918957,-0.04286522041354368,-0.04520316171516306,-0.028002344531613238,-0.023458413338638434,-0.012998701882360936,-0.03103053520117749,-0.052722127913278766,-0.07321819228722337,-0.061140927657257454,-0.0524587435441525,-0.2512839840496524,-0.06974290020086996,-0.059244330651174154,-0.18068973232329963,-0.22009844165716458,-0.043284941441330965,0.013998964140470471,-0.021393716137529384,0.020869654102862113,-0.025390452318042663
1311012,-0.1134255452079822,-0.07007937220798172,-0.09708069068798175,-0.15144446851188753,-0.10190703833056292,-0.05868942036221053,-0.09338571522675299,-0.14205562836395924,-0.11292927279098608,-0.08150175100758672,-0.10347362122415876,-0.14407047580784682,-0.14899374481681898,-0.15940215430137777,-0.14484809023528022,-0.1833318351113109,-0.5041242805858028,-0.061955622836360635,-0.09072782715822342,-0.33285745083033924,-0.33091274658573594,-0.13218962239993037,-0.0858083823079816,-0.10589058412798158,-0.11325606937205884,-0.1502868739105761
1311013,0.03567173196409809,0.07422516428009816,0.030012684196098177,0.03882736620851063,0.024537592485219598,-0.0018997182024457215,-0.00954017411223982,0.033488819674286616,0.034973109020786264,0.08330107697462351,0.03087933114075031,0.0461098332249678,0.006536843554672975,0.12629996743137206,0.008912497536981936,0.019599785599600225,-0.11416576477947438,-0.02666098076459613,-0.008334289394233016,-0.06398129840479996,-0.06568835008870488,0.02938667768178349,0.08806690816989836,0.036725635764098055,0.053411018947139385,0.026653530447447792
1311015,0.05205222549882302,0.12072565307682276,0.0622825573588231,0.05761289917380591,0.04967158843590447,0.15782352782730674,0.08555294980178302,0.055877175456144845,0.04156244374183418,0.13584649877295135,0.06145425417524797,0.05822326905881209,0.04173196298082915,0.12803526365568624,0.0509613242016628,0.05810660136565904,-0.20070658770436198,0.137369287773423,0.08908537559608776,-0.11219725262215977,-0.13741750481489406,0.046839403718923533,0.10150378467482352,0.06815180409082294,0.08474663527403027,0.047015681462609794
1311017,-0.030673652497319237,-0.10960456965731918,-0.01923697527731849,-0.05839273389117361,-0.0386701290190552,-0.13017153888123534,-0.020813256588155804,-0.053176800986306394,-0.04216314079389816,-0.1185546932910862,-0.03399786643059077,-0.062215858841800586,-0.12264502083248041,-0.2501579797547187,-0.11585644945395479,-0.117373193991328,-0.3887692258523642,-0.1809436503530969,-0.06924149251231326,-0.25620684070787564,0.08212486772486838,-0.010891610710961785,-0.10465417783731912,-0.026496700377319993,-0.07156979201850482,-0.14637724179774522
1311018,-0.06565053936567894,-0.02940869238567906,-0.05048479116567878,-0.07998648603444486,-0.07861559156296533,-0.010096765980666889,-0.06701171682805845,-0.08532988849942452,-0.059502364066545355,-0.019522811802977103,-0.04861691480262753,-0.0763805223776387,-0.104435786980419,-0.03873239569815129,-0.09862172159449967,-0.07533872201902131,-0.40488784139001294,-0.017749241146221617,-0.07723922078324308,-0.2031601609729965,-0.2431489711934155,-0.07355393429934498,-0.01345867348967883,-0.047569391925678994,-0.03940915234267595,-0.09345460070631816
1311019,0.06863254316204737,-0.03953881787795249,0.09968384778204786,0.026853708711754853,0.05670554413666329,-0.03474802400371535,0.09488660579559338,0.020286203319179852,0.06125534177277592,-0.03535878283087557,0.07798836692250888,0.022745243840280205,-0.03180975821618803,-0.131835786873079,-0.009306392652592532,-0.030798714606998234,-0.2598498277752372,-0.03801879570723343,0.02834870029834613,-0.17660627660604233,0.21978945342571143,0.054277301261759114,-0.05748064293795213,0.08130785170204768,0.053891498103395864,-0.008762209355511004
1311020,0.049977592187181105,0.13402515483518102,0.05095436560318102,0.05066434558670689,0.03596903564051172,0.10942104922190636,0.02604924729039211,0.03824965032206719,0.05489601793802766,0.12517654520662802,0.05816118232280408,0.05256099355026185,0.03678030564436337,0.12561579858164923,0.04118357093065346,0.034607523331209936,-0.16091275842406316,0.14973661839105762,0.024044373177398395,-0.048005319541288644,-0.10573973705393086,0.04453764000483447,0.13347312777618103,0.057816624271181075,0.0753759092669934,0.05409416696848348
1311021,-0.10232585705439035,-0.06459299661439066,-0.06087177807439009,-0.1131458781061665,-0.09803485442981819,-0.07004987684820396,-0.053233869678828816,-0.1048604944257222,-0.09895023153164262,-0.060687818677633565,-0.05884925907720101,-0.11287154995873366,-0.1534824497807592,-0.1806824228037613,-0.1265003213719358,-0.16290639341630075,-0.3246471770053854,-0.06860119353216493,-0.08923537411878113,-0.2540901158871502,-0.07842365201631152,-0.10997403340074746,-0.07735471616639078,-0.06449851579439064,-0.03969319446964073,-0.09897471674031112
1311023,0.029853507430125797,0.05424995059412546,0.023590384216125693,0.026146166268874976,0.016287204067282013,0.002459177764967957,-0.006819893216858858,0.017851742393341974,0.032602911123166545,0.06488233598762413,0.03477433787150236,0.02975499383719768,0.020287679939855224,0.12822158900544173,0.027750882887296963,0.02696838191954834,-0.2254384452282434,-0.08273834344170211,-0.011424948431042276,-0.070723798049549,-0.1314569826955887,0.025280661934749094,0.10524608809212568,0.03561018954012582,0.06637027543457225,0.05720427000487234
1311024,-0.06267967160145183,-0.012817775681451704,-0.0471122534214522,-0.07488447238758572,-0.05583477587779179,0.006930562101201132,-0.02980265995707937,-0.06650622016126018,-0.06520389154105066,-0.0016257489005168102,-0.05104039207914135,-0.0791094535326195,-0.09892876819765195,-0.05471979530923049,-0.08506758038265216,-0.10478461053779026,-0.47340981246542546,-0.00745648881215033,-0.05373701270558584,-0.2753662779290269,-0.2504377495462797,-0.06835030779822321,-0.03630676376145181,-0.05309499434145187,-0.003365476134145865,-0.03090517602110049
1311025,-0.20989111866612248,-0.14993569558612274,-0.19509411854612235,-0.22319643982732779,-0.1951201739687557,-0.1802683128101069,-0.19824043175331812,-0.21663593540191384,-0.19759944045431854,-0.16122342926615318,-0.18933284302288694,-0.22350240188863157,-0.24506303473898622,-0.2165905403945967,-0.23801649588809531,-0.2501150173848349,-0.4764253674310266,-0.15367788782186764,-0.22020524757688537,-0.34215142850618774,-0.40313428571428583,-0.21288647826370505,-0.15652596866612273,-0.19999651674612218,-0.15497750207409264,-0.18870351848006248
1311026,0.014955179424666787,0.018812549514666432,0.024744700256666613,0.002794213083143121,0.013592265977623225,0.01322275096853509,0.01930488821591783,-0.00401032396323292,0.01854032756240301,0.034554440187591934,0.028347567430392545,0.006739349005080247,-0.0010045185945932178,0.06272976340557793,0.014072833773583121,0.000976003471461595,-0.31066179316281756,-0.023612799300886167,0.01938442446811936,-0.11425335791179199,-0.15924733333333338,0.0009003595482905136,0.062316327702066576,0.027989035452666705,0.04738915998500306,0.016182826678494164
1311027,-0.10101623413038302,-0.03212177019638307,-0.09269296171838298,-0.1071044257882775,-0.09534925510176939,-0.05288924076911666,-0.0833342770334517,-0.11208625618677243,-0.08550446640261478,-0.025728127575921994,-0.08465225426718972,-0.09825310743371243,-0.0935919400037317,-0.05166249454810121,-0.087252771551526,-0.07628752541493214,-0.30693797979465437,-0.21519532235653072,-0.15046762837942082,-0.15041142854073786,-0.24261840653277417,-0.11634620277049174,-0.008499513390383018,-0.08452577932238309,-0.06444677107903408,-0.11448032664111815
