muni,yhat_1,yhat_2,yhat_3
1241035,0.103201434,0.09870281,0.09611383
1241036,0.40193763,0.42269623,0.34241274
1241037,0.381482,0.4120969,0.44460136
1241038,0.537829,0.6046595,0.54372483
1241039,0.45905146,0.5452581,0.4442102
1241040,0.21038465,0.20802692,0.21195956
1241041,0.6763106,0.5865153,0.6192037
1241042,0.23672813,0.32295913,0.2737863
1241043,0.35396466,0.4271595,0.286214
1241044,0.42754543,0.45752704,0.404021
1241045,0.32533696,0.3351964,0.27318674
1241046,0.34358725,0.31849325,0.31406465
1241047,0.519052,0.57654786,0.44768742
1241048,0.23201211,0.16626492,0.20907272
1241049,0.373683,0.29907763,0.4128563
1241050,0.29674366,0.25559047,0.30577114
1241051,0.31643504,0.2666492,0.27590147
1241052,0.34334752,0.31522465,0.32263154
1241053,0.48330262,0.48537844,0.5284648
1241054,0.4846472,0.49797404,0.47215107
1241055,0.3173298,0.28803438,0.30908057
1241056,0.33092606,0.29739752,0.30282164
1241057,0.52317244,0.5946879,0.48671645
1241058,0.29158038,0.23818313,0.21531366
1251001,0.11152464,0.08288663,0.08171013
1251002,0.12474947,0.15404552,0.1319722
1251003,0.38923872,0.41378742,0.40762305
1251004,0.1948085,0.25329936,0.20895728
1251005,0.26588216,0.25649604,0.24302638
1251006,0.08984506,0.07393635,0.08407042
1251007,0.27144343,0.26025218,0.23272476
1251008,0.23033899,0.21570833,0.20810325
1251009,0.1674083,0.20256253,0.22530963
1251010,0.21422017,0.22681963,0.18313634
1251011,0.13321331,0.09224164,0.098913565
1251012,0.107880875,0.068191834,0.084260724
1251013,0.23720916,0.23330805,0.1853781
1251014,0.18680799,0.23311451,0.22421744
1251015,0.10808057,0.08571023,0.092436805
1251016,0.30371016,0.30814916,0.28322768
1251017,0.27204943,0.24234806,0.24428347
1251018,0.17288849,0.20559178,0.17001815
1261001,0.11393741,0.088179,0.08716261
1261002,0.063895576,0.07431066,0.065271564
1261003,0.23032264,0.28274667,0.25004435
1261004,0.17881593,0.07923974,0.13838388
1261006,0.080587715,0.088469476,0.072631836
1261012,0.16202684,0.18825895,0.15605876
1261014,0.107587926,0.16551645,0.15631023
1261016,0.12731385,0.13192266,0.102737635
1261017,0.11152464,0.06809534,0.07748556
1261018,0.12242395,0.07662907,0.092285044
1261019,0.06758802,0.0717078,0.08464036
