sim_sample,gb_census_mun,gb_gis_mun,gb_all_mun,gb_census_psu,bart_census_mun,bart_gis_mun,bart_all_mun,bart_census_psu,rf_census_mun,rf_gis_mun,rf_all_mun,rf_census_psu,lasso_census_mun,lasso_gis_mun,lasso_all_mun,lasso_census_psu,ols_census_mun,ols_gis_mun,ols_all_mun,ols_census_psu,eb,uc
35,.1935201,.1961517,.1934085,.1930278,.1931945,.1982167,.1933637,.1930178,.193409,.1965306,.193583,.1930255,.1934413,.2018763,.1935353,.1935792,.1981673,.1994735,.194221,.1961434,.1935335,.1935906
36,.1932531,.1980424,.1934753,.1932024,.1930895,.1977915,.1933918,.1932486,.1931006,.1979167,.1933116,.1932396,.1937177,.201576,.1936394,.1935623,.1973507,.1995349,.1938121,.1956132,.1935976,.1933409
37,.1932011,.1968679,.1930661,.1935178,.1931124,.1973904,.1931116,.1933167,.1930412,.1967949,.1935595,.1932638,.1934472,.2003779,.1933322,.1934983,.1974615,.1989314,.193764,.1956828,.1930926,.1934041
38,.1937822,.1986331,.1934989,.193289,.1934755,.1987825,.193619,.1932312,.1937442,.1985803,.1939183,.1934017,.1934084,.2005189,.1934405,.1936818,.1972474,.1995291,.1935005,.1964563,.1935265,.1935811
39,.1937418,.197984,.1938403,.1935418,.1933345,.1968079,.1934188,.1932351,.1936339,.1966626,.1934389,.1933572,.1937155,.2013735,.193585,.1936563,.198018,.1994065,.1938009,.1963485,.1936291,.193892
40,.1935364,.1976995,.1938168,.193263,.1935306,.1981561,.1934645,.1932262,.1940748,.1980915,.1940332,.1932811,.1935602,.2010431,.1936769,.1936592,.1969819,.2001198,.1945193,.1957461,.1933762,.1939426
41,.1933297,.1982427,.1934201,.1933717,.1930504,.1976579,.1932412,.1932131,.1931126,.1989937,.1930936,.1933349,.1935868,.2015629,.1932372,.193694,.1969404,.1999325,.1939302,.1955628,.1929154,.1937184
42,.1936141,.1961359,.193462,.1931127,.1934015,.1970484,.1934075,.1929471,.1929485,.1958499,.1931037,.193063,.1933782,.2001834,.1935739,.193578,.1967906,.1989539,.1934576,.1954204,.1929025,.1933464
43,.1935627,.1968703,.1935829,.1933934,.1932091,.1976736,.193396,.193372,.1933211,.1964739,.1935941,.1931101,.1932948,.2021805,.1933083,.1936397,.1968814,.1995402,.1935078,.1959782,.193224,.1933615
44,.1936029,.1977168,.1936815,.1935758,.1934465,.1977444,.1934174,.1934484,.1934261,.1982427,.1936952,.1933118,.1936515,.2012759,.1934294,.1937442,.1978941,.199759,.1942412,.1964836,.1928305,.1932302
45,.1933558,.1964401,.1934603,.1935418,.1930952,.1973665,.1933371,.1933465,.1930869,.1970309,.1937114,.1932969,.1935872,.2024202,.1935917,.1935095,.1970796,.2003057,.19393,.1956941,.1930288,.1932694
46,.1934599,.1971464,.1935935,.1932494,.1930831,.1976255,.1933492,.1931601,.1934849,.1971617,.1935942,.1930995,.1934851,.201816,.193279,.1935448,.196599,.1999324,.194013,.1954416,.1930221,.1934016
47,.193231,.1988526,.193264,.1933308,.1932556,.1982667,.1933293,.1932381,.1932085,.197184,.1935933,.1933072,.1935343,.2017285,.1935236,.1937576,.1983669,.1997237,.1949035,.1959326,.1930571,.1932484
48,.1941452,.1977766,.1937322,.193172,.1936144,.1978339,.1938461,.1932275,.193929,.1972541,.1937317,.1933414,.1935851,.2013156,.1935767,.1935588,.1977594,.1990405,.1938088,.1959444,.1931063,.1931777
49,.1932841,.1971629,.1930656,.1933445,.1932549,.1970481,.1935246,.1932618,.1932247,.1969629,.1932722,.1933385,.1934065,.2005821,.1933789,.19367,.1966322,.1995436,.1935896,.1962594,.193228,.1936337
