OID_,ADM2_PCODE,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90
2036,MX15085,2036,1773.000000000000000,0.030781250492500,0.341106474399567,32.037876129150391,31.696769654750824,1.597759897300099,2.161719611043703,2832.828297913076312,0.822058916091919,3.493193769454956
2037,MX15086,2037,2800.000000000000000,0.048611111888889,0.263667315244675,13.021954536437988,12.758287221193314,0.743836123496295,0.947294504974854,2082.741145789625534,0.433093786239624,1.397986900806427
2038,MX31084,2038,1687.000000000000000,0.029288194913056,0.208984583616257,9.652614593505859,9.443630009889603,0.343093294051885,0.532000850077240,578.798387065530619,0.263915598392487,0.330211281776428
2039,MX17018,2039,512.000000000000000,0.008888889031111,0.549578249454498,20.522356033325195,19.972777783870697,5.732451480929734,6.123547669820199,2935.015158236024035,2.143887758255005,16.294667625427248
2040,MX17033,2040,181.000000000000000,0.003142361161389,0.805987060070038,15.482865333557129,14.676878273487091,2.702960764176278,2.966396174979979,489.235898315906297,1.165121674537659,6.880621433258057
2041,MX15087,2041,928.000000000000000,0.016111111368889,0.491582274436951,19.905509948730469,19.413927674293518,3.205710102932463,3.243057608591440,2974.898975521326065,2.021376729011536,8.013914966583252
2042,MX08063,2042,22738.000000000000000,0.394756950760556,0.208533450961113,7.739983558654785,7.531450107693672,0.264693217956749,0.128577326944829,6018.594389900563328,0.254828751087189,0.273273283243179
2043,MX31085,2043,3533.000000000000000,0.061336806536944,0.204176351428032,16.827133178710938,16.622956827282906,0.349288481045404,0.729467976735830,1234.036203533413982,0.244999840855598,0.339617532491684
2044,MX30161,2044,5784.000000000000000,0.100416668273333,0.224823325872421,17.276737213134766,17.051913887262344,0.378116146696122,0.507007919409254,2187.023792490367214,0.312877550721169,0.432508841156960
2045,MX04008,2045,5191.000000000000000,0.090121529219722,0.192681252956390,22.766263961791992,22.573582708835602,0.356872009860140,0.930243816749003,1852.522603183985211,0.253582835197449,0.322220057249069
