HID_mun,fgt0_bias_reg,fgt0_mse,simulation,method_des
1191033,-.10846648,.0117710930567266,15,XGBoost(hh) Mun
1191034,-.011412925,.0001371667488797,15,XGBoost(hh) Mun
1191037,-.048393458,.0023570585969588,15,XGBoost(hh) Mun
1191038,-.031223914,.0009784230662436,15,XGBoost(hh) Mun
1191039,-.027208328,.0007413230709237,15,XGBoost(hh) Mun
1191041,-.031576566,.0010013091521152,15,XGBoost(hh) Mun
1191042,-.049324676,.0024556264425904,15,XGBoost(hh) Mun
1191044,-.07315924,.0053539109863121,15,XGBoost(hh) Mun
1191045,-.01668464,.0002824331831678,15,XGBoost(hh) Mun
1191046,-.02306659,.0005323552084139,15,XGBoost(hh) Mun
1191047,-.032439936,.0010604555668825,15,XGBoost(hh) Mun
1191048,-.019717809,.0003900409022868,15,XGBoost(hh) Mun
1191049,-.034765616,.0012105614826951,15,XGBoost(hh) Mun
1191051,-.10205743,.0104382185400199,15,XGBoost(hh) Mun
1201002,-.28294161,.0800939516787153,15,XGBoost(hh) Mun
1201005,-.15240569,.0232474892357677,15,XGBoost(hh) Mun
1201006,-.14962228,.0224200971105685,15,XGBoost(hh) Mun
1201010,-.1104731,.0122142984757489,15,XGBoost(hh) Mun
1201012,-.1363176,.0189212309534091,15,XGBoost(hh) Mun
1201014,-.096623868,.0093416767809654,15,XGBoost(hh) Mun
1201021,-.22415389,.050276049288809,15,XGBoost(hh) Mun
1201023,-.03099479,.0010345993703821,15,XGBoost(hh) Mun
1201025,-.10605174,.0112829542682394,15,XGBoost(hh) Mun
1201026,-.29621652,.087977035906471,15,XGBoost(hh) Mun
1201028,-.20957285,.0439872405559257,15,XGBoost(hh) Mun
1201029,-.20475124,.0427594530798245,15,XGBoost(hh) Mun
1201030,-.047772814,.002288121733911,15,XGBoost(hh) Mun
1201031,-.086329021,.0077096245400174,15,XGBoost(hh) Mun
1201033,-.033840399,.001182961667852,15,XGBoost(hh) Mun
1201039,-.10842382,.0117812985085688,15,XGBoost(hh) Mun
1201040,-.21497408,.0467766098789469,15,XGBoost(hh) Mun
1201041,-.20319355,.0415242938865632,15,XGBoost(hh) Mun
1201042,-.15002275,.0225533694526973,15,XGBoost(hh) Mun
1201043,-.076991595,.0059461785235698,15,XGBoost(hh) Mun
1201044,-.25123274,.0631378914608655,15,XGBoost(hh) Mun
1201045,-.065377623,.0042930328714409,15,XGBoost(hh) Mun
1201051,-.29407552,.0870922816458497,15,XGBoost(hh) Mun
1201058,-.22531995,.0511210656462891,15,XGBoost(hh) Mun
1201059,-.11972741,.0144125086960697,15,XGBoost(hh) Mun
1201063,-.075466581,.0057082856776819,15,XGBoost(hh) Mun
1201064,-.27013412,.0731307320086479,15,XGBoost(hh) Mun
1201066,-.2316896,.0537310036697679,15,XGBoost(hh) Mun
1201067,-.051052541,.0026137383236237,15,XGBoost(hh) Mun
1201068,-.11230008,.0126961194570964,15,XGBoost(hh) Mun
1201070,-.25260651,.0640251131099242,15,XGBoost(hh) Mun
1201072,.1105458,.0126728371383226,15,XGBoost(hh) Mun
1201073,-.14853872,.0221373791073966,15,XGBoost(hh) Mun
1201075,-.22506702,.0506985820366694,15,XGBoost(hh) Mun
1201077,-.10371337,.010849401791472,15,XGBoost(hh) Mun
1201079,-.067295916,.0045374897239557,15,XGBoost(hh) Mun
1201083,-.063342258,.004037871055071,15,XGBoost(hh) Mun
1201084,-.034318689,.001194619572013,15,XGBoost(hh) Mun
1201085,-.05362881,.0031942083011009,15,XGBoost(hh) Mun
1201087,-.17725696,.0315569034264136,15,XGBoost(hh) Mun
1201090,-.16826172,.0283834894890439,15,XGBoost(hh) Mun
1201091,-.026388263,.0007080014738419,15,XGBoost(hh) Mun
1201095,.0077400156,.0007908156610165,15,XGBoost(hh) Mun
1201102,-.04298855,.0020328272360259,15,XGBoost(hh) Mun
1201103,-.26402512,.0698057735661462,15,XGBoost(hh) Mun
1201107,-.067784168,.0046142141549457,15,XGBoost(hh) Mun
1201115,-.073088922,.0053495150777925,15,XGBoost(hh) Mun
1201124,-.11725467,.0138705908030072,15,XGBoost(hh) Mun
1201126,-.14274208,.0210923272795506,15,XGBoost(hh) Mun
1201131,-.28019714,.0787447043858679,15,XGBoost(hh) Mun
1201134,-.37068272,.1376353019143918,15,XGBoost(hh) Mun
1201135,.019981217,.0010735532573961,15,XGBoost(hh) Mun
1201136,-.32995149,.1095101463852815,15,XGBoost(hh) Mun
1201141,-.2947824,.0870531356602391,15,XGBoost(hh) Mun
1201143,-.25856856,.0669320141041883,15,XGBoost(hh) Mun
1201145,-.067874722,.0046227662406245,15,XGBoost(hh) Mun
1201150,-.063421957,.0040588626798747,15,XGBoost(hh) Mun
1201153,-.075914182,.0059056394186532,15,XGBoost(hh) Mun
1201157,-.063307218,.0040103422858714,15,XGBoost(hh) Mun
1201166,-.2477112,.0614464022349364,15,XGBoost(hh) Mun
1201171,-.16331385,.0272820117222066,15,XGBoost(hh) Mun
1201174,-.089146458,.0079524652407041,15,XGBoost(hh) Mun
1201177,-.17944248,.0322592086307878,15,XGBoost(hh) Mun
1201178,-.054923888,.0030477400565738,15,XGBoost(hh) Mun
1201184,-.13009879,.0169403040908956,15,XGBoost(hh) Mun
1201185,-.21950729,.0482732343598912,15,XGBoost(hh) Mun
1201188,-.35282886,.1247061125463956,15,XGBoost(hh) Mun
1201190,-.18759595,.0353717674702596,15,XGBoost(hh) Mun
1201197,-.12114045,.0147476079737317,15,XGBoost(hh) Mun
1201198,-.21523765,.0465490277056322,15,XGBoost(hh) Mun
1201202,.036859185,.0017266977609333,15,XGBoost(hh) Mun
1201205,-.18096921,.0330570494986985,15,XGBoost(hh) Mun
1201207,-.3069838,.0946075002480003,15,XGBoost(hh) Mun
1201217,-.050193738,.0025350711766749,15,XGBoost(hh) Mun
1201218,-.31504101,.099440400485788,15,XGBoost(hh) Mun
1201219,-.22209518,.0500627146900326,15,XGBoost(hh) Mun
1201220,-.27555352,.076092867852524,15,XGBoost(hh) Mun
1201221,-.039284352,.0018610864361668,15,XGBoost(hh) Mun
1201222,-.30827776,.0952702881084909,15,XGBoost(hh) Mun
1201223,.043743573,.0021620363373033,15,XGBoost(hh) Mun
